,date,col_A,col_B,col_C,is_holiday,holiday_type
970,2025-08-28,,,,,
971,2025-08-29,,,,,
972,2025-08-30,,,,,
973,2025-08-31,,,,,
974,2025-09-01,,,,,
975,2025-09-02,,,,,
976,2025-09-03,,,,,
977,2025-09-04,,,,,
978,2025-09-05,,,,,
979,2025-09-06,,,,,
980,2025-09-07,,,,,
981,2025-09-08,,,,,
982,2025-09-09,,,,,
983,2025-09-10,,,,,
984,2025-09-11,,,,,
985,2025-09-12,,,,,
986,2025-09-13,,,,,
987,2025-09-14,,,,,
988,2025-09-15,,,,,
989,2025-09-16,,,,,
990,2025-09-17,,,,,
991,2025-09-18,,,,,
992,2025-09-19,,,,,
993,2025-09-20,,,,,
994,2025-09-21,,,,,
995,2025-09-22,,,,,
996,2025-09-23,,,,,
997,2025-09-24,,,,,
998,2025-09-25,,,,,
999,2025-09-26,,,,,
1000,2025-09-27,,,,,
1001,2025-09-28,,,,,
1002,2025-09-29,,,,,
1003,2025-09-30,,,,,
1004,2025-10-01,,,,,
1005,2025-10-02,,,,,
1006,2025-10-03,,,,,
1007,2025-10-04,,,,,
1008,2025-10-05,,,,,
1009,2025-10-06,,,,,
1010,2025-10-07,,,,,
1011,2025-10-08,,,,,
1012,2025-10-09,,,,,
1013,2025-10-10,,,,,
1014,2025-10-11,,,,,
1015,2025-10-12,,,,,
1016,2025-10-13,,,,,
1017,2025-10-14,,,,,
1018,2025-10-15,,,,,
1019,2025-10-16,,,,,
1020,2025-10-17,,,,,
1021,2025-10-18,,,,,
1022,2025-10-19,,,,,
1023,2025-10-20,,,,,
1024,2025-10-21,,,,,
1025,2025-10-22,,,,,
1026,2025-10-23,,,,,
1027,2025-10-24,,,,,
1028,2025-10-25,,,,,
1029,2025-10-26,,,,,
1030,2025-10-27,,,,,
1031,2025-10-28,,,,,
1032,2025-10-29,,,,,
1033,2025-10-30,,,,,
1034,2025-10-31,,,,,
1035,2025-11-01,,,,,
1036,2025-11-02,,,,,
1037,2025-11-03,,,,,
1038,2025-11-04,,,,,
1039,2025-11-05,,,,,
1040,2025-11-06,,,,,
1041,2025-11-07,,,,,
1042,2025-11-08,,,,,
1043,2025-11-09,,,,,
1044,2025-11-10,,,,,
1045,2025-11-11,,,,,
1046,2025-11-12,,,,,
1047,2025-11-13,,,,,
1048,2025-11-14,,,,,
1049,2025-11-15,,,,,
1050,2025-11-16,,,,,
1051,2025-11-17,,,,,
1052,2025-11-18,,,,,
1053,2025-11-19,,,,,
1054,2025-11-20,,,,,
1055,2025-11-21,,,,,
1056,2025-11-22,,,,,
1057,2025-11-23,,,,,
1058,2025-11-24,,,,,
1059,2025-11-25,,,,,
1060,2025-11-26,,,,,
1061,2025-11-27,,,,,
1062,2025-11-28,,,,,
1063,2025-11-29,,,,,
1064,2025-11-30,,,,,
1065,2025-12-01,,,,,
1066,2025-12-02,,,,,
1067,2025-12-03,,,,,
1068,2025-12-04,,,,,
1069,2025-12-05,,,,,
1070,2025-12-06,,,,,
1071,2025-12-07,,,,,
1072,2025-12-08,,,,,
1073,2025-12-09,,,,,
1074,2025-12-10,,,,,
1075,2025-12-11,,,,,
1076,2025-12-12,,,,,
1077,2025-12-13,,,,,
1078,2025-12-14,,,,,
1079,2025-12-15,,,,,
1080,2025-12-16,,,,,
1081,2025-12-17,,,,,
1082,2025-12-18,,,,,
1083,2025-12-19,,,,,
1084,2025-12-20,,,,,
1085,2025-12-21,,,,,
1086,2025-12-22,,,,,
1087,2025-12-23,,,,,
1088,2025-12-24,,,,,
1089,2025-12-25,,,,,
1090,2025-12-26,,,,,
1091,2025-12-27,,,,,
1092,2025-12-28,,,,,
1093,2025-12-29,,,,,
1094,2025-12-30,,,,,
1095,2025-12-31,,,,,
